Etunimi;Lkm 2023;Lkm 2021;Yleisyysluokka
Amrik;5;5;0
Amrit;7;7;0
Amro;13;12;1
An;67;51;1
Ana;10;11;1
Anakin;22;22;1
Anand;14;14;1
Ananda;15;15;1
Ananias;99;100;1
Anar;7;6;0
Anas;240;209;2
Anass;8;7;0
Anastasios;15;13;1
Anatol;10;10;1
Anatole;15;13;1
Anatoli;147;142;2
Anatolii;18;14;1
Anatolij;11;12;1
Anatoly;28;26;1
Andaras;11;11;1
Ándaras;10;8;1
Ande;0;5;0
Ánde;11;9;1
Ander;8;7;0
Anders;6617;6648;3
Andersen;6;6;0
Anderson;12;10;1
Andersson;15;16;1
Andi;37;30;1
Andor;9;8;0
Andras;8;8;0
András;47;44;1
Andre;266;252;2
André;1022;1010;3
Andrè;18;18;1
Andrea;160;149;2
Andreas;5590;5467;3
Andréas;80;80;1
Andree;12;12;1
Andrée;6;6;0
Andreevich;13;12;1
Andrei;958;889;2
Andreij;5;5;0
Andrej;80;79;1
Andrejevitch;7;7;0
Andres;192;183;2
Andrés;81;71;1
Andrew;508;487;2
Andrey;258;241;2
Andri;15;13;1
Andrian;10;10;1
Andrii;20;12;1
Andriy;28;25;1
Andro;9;7;0
Andrus;20;17;1
Andrzej;22;20;1
Andy;99;97;1
Anel;9;9;0
Anes;13;10;1
Ange;6;5;0
Angel;94;84;1
Ángel;5;0;0
Angelo;153;144;2
Angelos;33;30;1
Angelov;7;6;0
Angervo;7;5;0
Angus;37;34;1
Anh;159;141;2
Anian;50;50;1
Anik;12;8;1
Anil;21;18;1
Anini;5;5;0
Anir;9;8;0
Anis;29;27;1
Anish;5;5;0
Anjan;8;7;0
Ankit;6;5;0
Anmar;11;5;1
Anna;10;10;1
Ano;140;145;2
Anon;6;6;0
Anor;5;0;0
Anouar;12;12;1
Anreas;7;7;0
Anrei;7;7;0
Anri;9;9;0
Ansar;7;7;0
Anse;14;12;1
Ansel;17;14;1
Anseli;11;12;1
Anselm;640;653;2
Anselmi;2984;2918;3
Anselmo;35;34;1
Anselmus;12;11;1
Ansgar;11;9;1
Ansgarius;17;16;1
Anshelm;87;90;1
Anshelmi;8;9;0
Ansi;5;5;0
Ansio;20;20;1
Anskarius;10;10;1
Anssi;6804;6853;3
Anssi-Jukka;6;6;0
Anssinpoika;34;34;1
Anssi-Pekka;28;28;1
Anssi-Petteri;10;10;1
Ansu;28;31;1
Ansumana;8;7;0
Antamo;17;16;1
Antanas;5;5;0
Antar;7;7;0
Ante;127;119;2
Ánte;12;11;1
Anteri;43;41;1
Anterias;6;6;0
Antero;134633;137540;5
Anteronpoika;33;32;1
Anterus;26;27;1
Anthon;118;111;2
Anthoni;13;13;1
Anthonio;26;26;1
Anthony;852;809;2
Anti;13;13;1
Antinpoika;752;720;2
Anto;113;118;2
Antoine;79;79;1
Anton;14033;13418;4
Antone;5;5;0
Antoni;171;169;2
Antonin;10;9;1
Antonino;16;15;1
Antonio;997;935;2
António;13;12;1
Antonios;33;29;1
Antonis;22;21;1
Antonius;81;78;1
Antony;99;98;1
Antrea;17;16;1
Antreas;82;82;1
Antrei;25;25;1
Antro;7;7;0
Ants;11;10;1
Antte;90;84;1
Antti;54927;55606;4
Antti-Aleksi;7;7;0
Antti-Eemeli;26;26;1
Antti-Eemil;6;6;0
Antti-Einari;13;13;1
Antti-Heikki;22;22;1
Antti-Ilari;10;11;1
Antti-Ilmari;9;9;0
Antti-Jaakko;18;18;1
Antti-Johannes;7;7;0
Antti-Juhana;6;6;0
Anttijuhani;8;8;0
Antti-Juhani;104;107;2
Antti-Jukka;16;16;1
Anttijussi;21;21;1
Antti-Jussi;476;480;2
Antti-Kalle;5;5;0
Antti-Kustaa;7;7;0
Antti-Markus;7;7;0
Antti-Matias;12;13;1
Anttimatti;6;6;0
Antti-Matti;41;41;1
Antti-Mikael;19;19;1
Antti-Mikko;14;14;1
Antti-Olavi;14;14;1
Antti-Olli;10;10;1
Antti-Oskari;38;38;1
Anttipekka;16;16;1
Antti-Pekka;437;439;2
Antti-Petteri;30;30;1
Antti-Sakari;10;10;1
Antti-Samuli;5;5;0
Antti-Tapani;5;5;0
Antti-Tapio;16;15;1
Antti-Tuomas;8;8;0
Antti-Veikko;28;28;1
Antti-Veli;5;5;0
Antti-Ville;76;77;1
Antto;596;567;2
Antton;2190;2107;3
Anttoni;1961;1919;3
Anttonio;33;32;1
Anttony;11;11;1
Anttoo;14;14;1
Anttooni;6;7;0
Anttu;170;165;2
Anuar;24;19;1
Anund;6;5;0
Anup;5;5;0
Anwar;115;106;2
Anwer;5;0;0
Aous;5;0;0
Apo;6;6;0
Apollo;63;56;1
Apollon;13;12;1
Apostolos;11;11;1
Aqeel;16;11;1
Ara;41;37;1
Arad;6;5;0
Arafat;14;13;1
Aral;5;5;0
Aram;101;94;2
Aramis;25;24;1
Aran;36;33;1
Aras;63;46;1
Arash;50;46;1
Araya;6;6;0
Araz;20;19;1
Arben;23;22;1
Arber;14;15;1
Arbër;8;7;0
Arbnor;16;16;1
Arcene;6;6;0
Archer;6;6;0
Archie;15;13;1
Arcturus;8;7;0
Arda;66;61;1
Ardalan;5;5;0
Arden;13;11;1
Ardi;13;12;1
Ardian;31;28;1
Ardit;12;11;1
Are;35;36;1
Aref;15;14;1
Arel;15;11;1
Aren;23;19;1
Arend;6;5;0
Ares;38;26;1
Aret;14;13;1
Argjend;7;7;0
Argo;6;0;0
Arham;24;15;1
Arhi;31;29;1
Arhippa;81;80;1
Arho;89;89;1
Ari;29259;29679;4
Aria;11;10;1
Arian;107;99;2
Arianit;5;5;0
Ari-Antti;8;9;0
Arias;5;0;0
Arie;15;15;1
Ariel;235;224;2
Arif;68;64;1
Ari-Heikki;23;23;1
Ari-Jaakko;5;5;0
Arijan;6;5;0
Arijoutsi;53;60;1
Ari-Juha;11;12;1
Ari-Juhani;36;36;1
Ari-Jukka;96;99;1
Ari-Jussi;24;24;1
Arik;9;8;0
Ari-Kalevi;5;5;0
Ari-Kalle;6;7;0
Ariko;5;5;0
Ari-Kristian;7;7;0
Arild;13;11;1
Ari-Markus;5;5;0
Ari-Martti;5;5;0
Arimatti;10;10;1
Ari-Matti;290;290;2
Ari-Mikael;7;7;0
Ari-Mikko;18;18;1
Arimo;671;689;2
Arin;36;32;1
Arinpoika;211;211;2
Ario;22;19;1
Arion;18;15;1
Aripekka;31;31;1
Ari-Pekka;1700;1718;3
Ari-Petri;22;22;1
Ari-Petteri;46;47;1
Aris;22;19;1
Ari-Sakari;6;6;0
Ari-Seppo;6;6;0
Arish;5;0;0
Aristarkus;6;6;0
Aristoteles;11;11;1
Aristotelis;5;5;0
Ari-Tapani;11;11;1
Ari-Tapio;9;9;0
Ari-Veikko;17;17;1
Ari-Veli;9;9;0
Ari-Ville;17;17;1
Arjan;15;12;1
Arje;13;12;1
Arjen;8;7;0
Arjo;43;45;1
Arjun;14;12;1
Arkadi;23;21;1
Arkadius;7;7;0
Arkadiusz;5;5;0
Arkady;6;6;0
Arkan;25;19;1
Arkko;15;14;1
Arko;7;7;0
Arlen;6;5;0
Arlind;15;15;1
Arlo;52;39;1
Armaan;11;9;1
Arman;150;136;2
Armand;32;30;1
Armando;87;84;1
Armani;19;15;1
Armas;16633;16750;4
Armen;12;10;1
Armend;24;22;1
Armi;15;16;1
Armin;92;83;1
Armir;5;5;0
Armo;102;113;2
Arn;33;31;1
Arnau;5;0;0
Arnaud;13;13;1
Arnav;8;8;0
Arndt;16;15;1
Arne;1205;1188;3
Arnel;5;5;0
Arnes;7;6;0
Arneson;5;5;0
Arni;56;47;1
Arno;630;623;2
Arnold;501;509;2
Arnon;6;5;0
Arnulf;9;9;0
Aro;49;45;1
Aron;926;860;2
Áron;23;21;1
Aros;6;6;0
Arpad;9;9;0
Árpád;7;7;0
Arpia;8;9;0
Arpo;10;10;1
Arran;6;6;0
Arre;7;7;0
Arri;13;14;1
Arro;5;5;0
Arron;7;7;0
Arsalan;24;16;1
Arsen;14;12;1
Arseni;46;40;1
Arsenii;17;14;1
Arsenij;18;18;1
Arsenio;6;6;0
Arseniy;7;6;0
Arseny;17;15;1
Arshad;9;8;0
Arshan;6;6;0
Arshed;5;5;0
Arshia;5;0;0
Arsi;512;504;2
Arsim;13;11;1
Arska;7;6;0
Arslan;16;12;1
Arssi;16;16;1
Art;22;21;1
Artan;22;21;1
Arte;14;14;1
Artem;219;192;2
Artemi;54;49;1
Artemii;10;6;1
Artemij;5;5;0
Artemis;7;0;0
Artemiy;6;6;0
Arthur;1455;1368;3
Arti;6;5;0
Artin;38;35;1
Artjom;61;54;1
Arto;18297;18671;4
Arto-Matti;5;5;0
Arton;19;19;1
Artonpoika;99;95;1
Arto-Pekka;16;16;1
Artour;0;5;0
Artte;5;5;0
Artti;62;64;1
Artto;27;28;1
Arttu;10986;10928;4
Arttu-Aleksi;5;5;0
Arttu-Eemeli;13;13;1
Arttu-Matti;9;9;0
Arttu-Mikael;5;5;0
Arttu-Oskari;11;11;1
Arttu-Pekka;38;38;1
Arttu-Petteri;8;8;0
Arttur;262;262;2
Artturi;9031;8930;3
Arttu-Ville;7;7;0
Artunpoika;24;22;1
Artur;1000;958;3
Arturo;57;50;1
Arturs;7;0;0
Artyom;8;6;0
Arun;26;24;1
Arve;9;8;0
Arved;5;0;0
Arvi;3536;3520;3
Arvid;3027;2935;3
Arviid;17;17;1
Arviidi;8;9;0
Arviiti;25;25;1
Arvin;51;44;1
Arvind;9;9;0
Arvo;6694;6970;3
Arvonpoika;9;8;0
Arwid;27;23;1
Arwin;5;5;0
Arya;6;5;0
Aryan;53;44;1
Asa;35;38;1
Asaad;25;21;1
Asad;85;78;1
Asadullah;6;6;0
Asael;5;5;0
Asaf;14;10;1
Asante;11;6;1
Asare;6;6;0
Asarias;96;93;1
Asbjörn;7;7;0
Asbjørn;6;5;0
Ased;5;5;0
Asef;8;6;0
Aser;5;0;0
Asghar;11;11;1
Ashenafi;7;6;0
Asher;23;19;1
Ashish;11;10;1
Ashkan;13;10;1
Ashley;13;12;1
Ashok;11;10;1
Ashraf;33;28;1
Ashton;20;18;1
Ashwin;6;5;0
Asif;18;17;1
Asil;9;9;0
Asim;15;13;1
Asir;6;6;0
Asis;5;5;0
Ask;6;6;0
Askal;10;10;1
Askar;5;0;0
Askhab;0;5;0
Asko;6006;6182;3
Askold;7;5;0
Askonpoika;51;50;1
Asko-Pekka;6;6;0
Asla;182;174;2
Aslak;1586;1540;3
Aslakka;5;5;0
Aslakki;11;11;1
Aslam;8;8;0
Aslan;173;156;2
Asle;5;5;0
Ásllat;9;9;0
Asmir;5;5;0
Asmo;432;433;2
Asmund;7;5;0
Aso;23;21;1
Assad;8;7;0
Assar;43;42;1
Assari;9;11;0
Asse;11;12;1
Asseevi;5;5;0
Assefa;6;6;0
Asser;1855;1881;3
Asseri;801;822;2
Aster;0;5;0
Asterix;15;14;1
Astley;7;6;0
Asto;16;18;1
Aston;112;93;2
Astor;46;40;1
Astrit;11;10;1
Astro;10;8;1
Ata;31;27;1
Atakan;12;12;1
Atanas;14;12;1
